Time,CMIP7 v2.2.1
1932.958333,-0.160238
1933.041667,-0.210553
1933.125,-0.394876
1933.208333,-0.495044
1933.291667,-0.536808
1933.375,-0.539366
1933.458333,-0.518209
1933.541667,-0.489121
1933.625,-0.457924
1933.708333,-0.416248
1933.791667,-0.373543
1933.875,-0.329913
1933.958333,-0.288832
1934.041667,-0.266715
1934.125,-0.235196
1934.208333,-0.205447
1934.291667,-0.180778
1934.375,-0.159349
1934.458333,-0.141217
1934.541667,-0.125893
1934.625,-0.113101
1934.708333,-0.101625
1934.791667,-0.0919392
1934.875,-0.0808718
1934.958333,-0.0704708
1935.041667,-0.0617317
1935.125,-0.0532223
1935.208333,-0.0467281
1935.291667,-0.0425775
1935.375,-0.0395346
1935.458333,-0.0376155
1935.541667,-0.0365074
1935.625,-0.0361123
1935.708333,-0.0353866
1935.791667,-0.0350222
1935.875,-0.0320014
1935.958333,-0.0285404
1936.041667,-0.0257867
1936.125,-0.0224328
1936.208333,-0.0203732
1936.291667,-0.0200376
1936.375,-0.0202846
1936.458333,-0.0211848
1936.541667,-0.0224944
1936.625,-0.0241686
1936.708333,-0.0252098
1936.791667,-0.0263587
1936.875,-0.0246218
1936.958333,-0.0222608
1937.041667,-0.0204477
1937.125,-0.0179
1937.208333,-0.0165305
1937.291667,-0.0167883
1937.375,-0.0175468
1937.458333,-0.0330193
1937.541667,-0.0375748
1937.625,-0.039298
1937.708333,-0.0399287
1937.791667,-0.0404366
1937.875,-0.0379072
1937.958333,-0.0346359
1938.041667,-0.0318597
1938.125,-0.0283221
1938.208333,-0.025983
1938.291667,-0.0253135
1938.375,-0.0251921
1938.458333,-0.0257105
1938.541667,-0.0266409
1938.625,-0.0279499
1938.708333,-0.0286405
1938.791667,-0.0294621
1938.875,-0.0274125
1938.958333,-0.0247599
1939.041667,-0.0226857
1939.125,-0.0198969
1939.208333,-0.0183176
1939.291667,-0.0183968
1939.375,-0.0189989
1939.458333,-0.0202019
1939.541667,-0.0217702
1939.625,-0.0236656
1939.708333,-0.0248897
1939.791667,-0.0261945
1939.875,-0.0245673
1939.958333,-0.0222935
1940.041667,-0.0205551
1940.125,-0.0180639
1940.208333,-0.0167477
1940.291667,-0.0170613
1940.375,-0.0178714
1940.458333,-0.0192577
1940.541667,-0.0209872
1940.625,-0.0230234
1940.708333,-0.024369
1940.791667,-0.0257797
1940.875,-0.0242345
1940.958333,-0.0220318
1941.041667,-0.0203546
1941.125,-0.0179151
1941.208333,-0.0166449
1941.291667,-0.0170014
1941.375,-0.0178503
1941.458333,-0.0192718
1941.541667,-0.0210326
1941.625,-0.0230968
1941.708333,-0.0244656
1941.791667,-0.0258967
1941.875,-0.0243607
1941.958333,-0.0221647
1942.041667,-0.0204935
1942.125,-0.0180573
1942.208333,-0.0167916
1942.291667,-0.0171552
1942.375,-0.0180119
1942.458333,-0.0194418
1942.541667,-0.0212112
1942.625,-0.0232838
1942.708333,-0.0246589
1942.791667,-0.026096
1942.875,-0.0245574
1942.958333,-0.0223578
1943.041667,-0.0206836
1943.125,-0.0182428
1943.208333,-0.0169749
1943.291667,-0.0173402
1943.375,-0.157491
1943.458333,-0.288447
1943.541667,-0.338318
1943.625,-0.350457
1943.708333,-0.343976
1943.791667,-0.328705
1943.875,-0.306156
1943.958333,-0.280996
1944.041667,-0.255834
1944.125,-0.230253
1944.208333,-0.207105
1944.291667,-0.187389
1944.375,-0.1695
1944.458333,-0.153698
1944.541667,-0.139751
1944.625,-0.12762
1944.708333,-0.116244
1944.791667,-0.106275
1944.875,-0.0945971
1944.958333,-0.0834037
1945.041667,-0.0738013
