CO2,CH4,N2O,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CCl4,CH3Cl,CH3CCl3,CH3Br,Halon-1202,Halon-1211,Halon-1301,Halon-2402,CF4,C2F6,C6F14,SF6,HFC-125,HFC-134a,HFC-143a,HFC-227ea,HFC-23,HFC-245fa,HFC-32,HFC-4310mee
0.18352330821314944,0.041403529765130544,0.013835379262935989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043145928235127206,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18606551263059679,0.04278821096388597,0.014144681241926636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045064551077050256,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1881953980437177,0.044059020016113816,0.01437458019238365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004707101332583759,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19008862413482036,0.04532620394367102,0.014559007872427152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000491619187597311,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19198372698952332,0.0467031644571009,0.01474353016139345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005134400241025009,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19417356003032504,0.048089086713636923,0.014967805910704733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005362814620626526,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19726471443868043,0.04942566223409175,0.015225560604047077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005601325277949055,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20163457130430396,0.05082411277742103,0.015454749403105135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005850274924729877,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,3.337133235542223e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2069310987998469,0.05237564700864688,0.015689353682530938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006110337090551796,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,2.999560948215411e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21274558451444314,0.05420669417771017,0.0159968035476648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006381143036784672,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,7.781444081148496e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21898950650303145,0.056369764151870776,0.01634865819957676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006659104248017549,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,1.0829018821652339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2254788229596067,0.05875049851989327,0.016705140501120798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006938406009166337,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,1.1726735288395423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2322586731525756,0.06127207286648128,0.017061591690857296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007217178254254042,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,1.2343830081332662e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
