Time,CMIP6
1921.958333,-0.0119729
1922.041667,-0.0695272
1922.125,-0.0124041
1922.208333,-0.0413627
1922.291667,-0.149853
1922.375,-0.175122
1922.458333,-0.189025
1922.541667,-0.264795
1922.625,-0.164743
1922.708333,-0.227799
1922.791667,-0.217094
1922.875,-0.188438
1922.958333,-0.163457
1923.041667,-0.18903
1923.125,-0.165052
1923.208333,-0.125091
1923.291667,-0.136975
1923.375,-0.149374
1923.458333,-0.123664
1923.541667,-0.110551
1923.625,-0.0144226
1923.708333,-0.0147283
1923.791667,-0.0150479
1923.875,-0.0140169
1923.958333,-0.0125886
1924.041667,-0.012911
1924.125,-0.013019
1924.208333,-0.0123972
1924.291667,-0.011988
1924.375,-0.0113073
1924.458333,-0.0115823
1924.541667,-0.0123184
1924.625,-0.0147435
1924.708333,-0.0150497
1924.791667,-0.0153718
1924.875,-0.0143371
1924.958333,-0.0129028
1925.041667,-0.0132249
1925.125,-0.0133328
1925.208333,-0.0127077
1925.291667,-0.0122965
1925.375,-0.011615
1925.458333,-0.011891
1925.541667,-0.012632
1925.625,-0.0150688
1925.708333,-0.0153757
1925.791667,-0.0157003
1925.875,-0.0146619
1925.958333,-0.0132213
1926.041667,-0.013543
1926.125,-0.0136508
1926.208333,-0.0130223
1926.291667,-0.0126092
1926.375,-0.0119266
1926.458333,-0.0122037
1926.541667,-0.0129497
1926.625,-0.0153984
1926.708333,-0.015706
1926.791667,-0.016033
1926.875,-0.0149909
1926.958333,-0.013544
1927.041667,-0.0138652
1927.125,-0.0139729
1927.208333,-0.0133412
1927.291667,-0.012926
1927.375,-0.0122425
1927.458333,-0.0125205
1927.541667,-0.0132717
1927.625,-0.0157325
1927.708333,-0.0160406
1927.791667,-0.0163702
1927.875,-0.0153243
1927.958333,-0.0138711
1928.041667,-0.0141918
1928.125,-0.0142993
1928.208333,-0.0136641
1928.291667,-0.013247
1928.375,-0.0125624
1928.458333,-0.0128416
1928.541667,-0.013598
1928.625,-0.0160708
1928.708333,-0.0163796
1928.791667,-0.167802
1928.875,-0.240475
1928.958333,-0.112567
1929.041667,-0.0991168
1929.125,-0.343103
1929.208333,-0.234265
1929.291667,-0.126407
1929.375,-0.296079
1929.458333,-0.166278
1929.541667,-0.58302
1929.625,-0.389638
1929.708333,-0.209067
1929.791667,-0.284319
1929.875,-0.113358
1929.958333,-0.124534
1930.041667,-0.0148574
1930.125,-0.0149648
1930.208333,-0.0143226
1930.291667,-0.0139013
1930.375,-0.0132147
1930.458333,-0.013496
1930.541667,-0.014263
1930.625,-0.0167606
1930.708333,-0.0170708
1930.791667,-0.0174082
1930.875,-0.0163504
1930.958333,-0.0148779
1931.041667,-0.0151966
1931.125,-0.0153037
1931.208333,-0.0146581
1931.291667,-0.0142346
1931.375,-0.013547
1931.458333,-0.0138294
1931.541667,-0.0146019
1931.625,-0.0171121
1931.708333,-0.0174228
1931.791667,-0.017763
1931.875,-0.0167012
1931.958333,-0.015222
1932.041667,-0.0155399
1932.125,-0.0156469
1932.208333,-0.0149977
1932.291667,-0.166155
1932.375,-0.328331
1932.458333,-0.293112
1932.541667,-0.292784
1932.625,-0.342296
1932.708333,-0.218667
1932.791667,-0.391666
1932.875,-0.278713
1932.958333,-0.113942
1933.041667,-0.140498
1933.125,-0.15522
1933.208333,-0.0449226
1933.291667,-0.192395
1933.375,-0.014224
1933.458333,-0.0145086
1933.541667,-0.015292
1933.625,-0.0178281
1933.708333,-0.0181402
1933.791667,-0.0184857
1933.875,-0.0174159
1933.958333,-0.0159231
1934.041667,-0.0162392
1934.125,-0.016346
1934.208333,-0.0156895
1934.291667,-0.0152595
1934.375,-0.0145686
1934.458333,-0.0148545
1934.541667,-0.0156434
1934.625,-0.0181927
1934.708333,-0.0185055
1934.791667,-0.0188538
1934.875,-0.0177797
1934.958333,-0.01628
1935.041667,-0.0165951
1935.125,-0.0167018
1935.208333,-0.0160416
1935.291667,-0.0156094
1935.375,-0.0149175
1935.458333,-0.0152044
1935.541667,-0.0159991
1935.625,-0.0185615
1935.708333,-0.018875
1935.791667,-0.0192261
1935.875,-0.0181478
1935.958333,-0.0166412
1936.041667,-0.0169553
1936.125,-0.0170618
1936.208333,-0.0163979
1936.291667,-0.0159634
1936.375,-0.0152704
1936.458333,-0.0155585
1936.541667,-0.0163589
1936.625,-0.0189348
1936.708333,-0.019249
1936.791667,-0.019603
1936.875,-0.0185203
1936.958333,-0.0170066
1937.041667,-0.0173196
1937.125,-0.0174261
1937.208333,-0.0167583
1937.291667,-0.0163216
1937.375,-0.0156274
1937.458333,-0.0159167
1937.541667,-0.0167229
1937.625,-0.0193123
1937.708333,-0.0196273
1937.791667,-0.0199842
1937.875,-0.0188973
1937.958333,-0.0173763
1938.041667,-0.0176882
1938.125,-0.0177944
1938.208333,-0.0171229
1938.291667,-0.0166839
1938.375,-0.0159887
1938.458333,-0.0162791
1938.541667,-0.0170912
1938.625,-0.0196943
1938.708333,-0.0200101
1938.791667,-0.0203698
1938.875,-0.0192785
1938.958333,-0.0177504
1939.041667,-0.0180609
1939.125,-0.0181671
1939.208333,-0.0174916
1939.291667,-0.0170503
1939.375,-0.016354
1939.458333,-0.0166456
1939.541667,-0.0174636
1939.625,-0.0200807
1939.708333,-0.0203971
1939.791667,-0.0207598
1939.875,-0.019664
1939.958333,-0.0181286
1940.041667,-0.018438
1940.125,-0.018544
1940.208333,-0.0178646
1940.291667,-0.0174208
1940.375,-0.0167234
1940.458333,-0.0170163
1940.541667,-0.0178403
1940.625,-0.0204713
1940.708333,-0.0207885
1940.791667,-0.0211542
1940.875,-0.020054
1940.958333,-0.0185111
1941.041667,-0.0188191
1941.125,-0.018925
1941.208333,-0.0182416
1941.291667,-0.0177955
1941.375,-0.0170969
1941.458333,-0.017391
1941.541667,-0.0182211
1941.625,-0.0208664
1941.708333,-0.0211843
1941.791667,-0.021553
1941.875,-0.0204482
1941.958333,-0.0188979
1942.041667,-0.0192046
1942.125,-0.0193103
1942.208333,-0.0186229
1942.291667,-0.0181744
1942.375,-0.0174746
1942.458333,-0.0177699
1942.541667,-0.0186062
1942.625,-0.0212658
1942.708333,-0.0215844
1942.791667,-0.0219562
1942.875,-0.0208469
1942.958333,-0.0192891
1943.041667,-0.0195941
1943.125,-0.0196997
1943.208333,-0.0190083
1943.291667,-0.0185574
1943.375,-0.0178564
1943.458333,-0.018153
1943.541667,-0.0189954
1943.625,-0.0216695
1943.708333,-0.021989
1943.791667,-0.0223638
1943.875,-0.0212499
